[Mar 5 20:48:49] 
[Mar 5 20:48:49] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.15==
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/fa-regular-400.woff >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/webfonts/fa-solid-900.woff2 >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/css/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/font-awesome/css/all.min.css >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-icons_2e83ff_256x240.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/exclamation-triangle-orange.svg >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-icons_cd0a0a_256x240.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-icons_222222_256x240.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-icons_454545_256x240.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-bg_glass_75_e6e6e6_1x400.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-bg_highlight-soft_75_cccccc_1x100.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-bg_glass_95_fef1ec_1x400.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-bg_glass_65_ffffff_1x400.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-bg_glass_75_dadada_1x400.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-bg_glass_55_fbf9ee_1x400.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/images/ui-icons_888888_256x240.png >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/inc.libs.css.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/inc.css.validation.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/inc.js.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/fonts/dots/dots-font.css >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/fonts/dots/dotsfont.ttf >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/fonts/dots/dotsfont.eot >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/fonts/dots/dotsfont.svg >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/fonts/dots/dotsfont.woff >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/fonts/dots/dotsfont.woff2 >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/normalize.css >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/js/password-strength/README.md >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/js/password-strength/password.css >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/js/password-strength/password.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/js/password-strength/passwordstrength.jpg >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/js/password-strength/LICENSE.md >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/inc.libs.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/inc.css.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/assets/maintenance.html >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/main.installer.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.installer.state.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.wpengine.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.godaddy.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/interface.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.flywheel.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.wordpresscom.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.liquidweb.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.pantheon.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.custom.host.manager.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/host/class.siteground.host.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/database/class.db.table.item.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/database/class.db.tables.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/database/class.db.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/database/class.db.functions.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.csrf.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/class.package.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/chunk/class.chunkingmanager_file.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/chunk/Iterators/Interfaces/GenericSeekableIterator.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/chunk/Iterators/Interfaces/EventIterator.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/chunk/Iterators/class.s3.iterator.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/chunk/class.chunk.s3.manager.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/classes/chunk/class.chunkingmanager.php >>> /home/dn072025/dynex.com.ua/www
